company_id,linkedin_url,first_name,last_name
959eae16-baba-442e-bd36-094da1b119e3,,"""9",Avenue Paul Verlaine
58295b9b-b55b-469f-90a4-41535b1662b3,,,
ef96a388-28b8-4ad8-8a39-15e4ae221778,,,
3c7c2875-e160-4c91-9d1c-718bd590dd5c,,,
81588d2c-7a09-4776-8d57-5e8a0e18ab03,,,
23c6020a-d17b-4ec7-8de5-1ac888b82387,,,
2d3547ac-abe9-4d6a-93a3-455db4891ba5,,,
d3dc2ce5-ec0f-4450-ade7-30607e07123e,,,
25864e21-edd2-4bbe-9196-27b430a630f7,,,
c45bbfd7-dcf4-45ff-956a-6d5ba6783168,,,
c9ebf595-ee2d-4234-9207-99cccb8eeb56,,,
d74cece0-0938-4be1-b45f-a758413e286b,,,
a46b4edf-0db9-4d6c-a18a-86de4daabd3d,,,
95c2f90e-434f-4017-9514-2086ead2c622,,,
7fbbea59-b2ec-495e-aace-77c54c356ec4,,Non,disponible
c1be5d31-3248-47b1-a400-eb1078c79ef4,,,
68649f1b-8997-4fb7-b4c9-846faf87aa89,,,
2350cecc-db49-4f1c-909a-a446cf12e858,,,
6af32903-14ed-4f90-8d70-c42447082f24,,,
6cfea61a-5323-418e-88e9-001faf0ffe94,,,
18818202-6913-4409-8a52-867e5a1a047b,,,
5d96e5a9-001a-4585-8ff4-5d49b93470eb,"""178 route de Cran Gevrier",,
37cddbcf-1e46-47e4-9c6c-09e9b05cc519,,,
b569907e-8964-497c-855d-0aee2a65501c,,,
7e66909f-a2f7-4c03-99f1-f26c919923f1,,,
111eb4f2-88ca-42f8-90e7-5fd5c5a83dd3,,2011-03-28,
8e75bc8f-be67-4f03-b940-0725cf8c54a4,,,
4ac2a943-42a7-4679-8bd2-facfb6046151,,Non,disponible
1bb93206-4543-491f-8113-bd00f59508cd,,,
5b4591a1-da37-4fdb-8e6d-daae914813f5,,,
1e578347-6b8d-4dc6-90f6-fe37e52002e0,,,
a06926fe-d2e7-4a5b-b56b-6891b7474fcc,,,
8aaba82e-8e37-49e2-8af1-5b45ce509b84,,,
9136d743-6ec1-4719-aca6-9bfa6fdb17ae,,,
16f43a87-b8a8-4613-977c-e493f455be97,,Non,disponible
9f2a7674-ac08-4365-abdb-93e3ebff9aad,,,
b1020ed1-1bb6-45c7-ab6f-93a96b58a48b,,,
a762c284-9858-4d77-9f32-35821dd38923,,2015-05-26,
b9b93d4c-dcab-464d-a005-becf74b6e651,,,
f7848456-4537-46c7-8389-3b3b75ef44eb,,,
f6d440a6-8936-4a55-baa1-0aed15110196,,,
f6274f41-91a7-4f18-a3cc-b44fb12b744f,,Non,disponible
9fcda5aa-ad9c-464e-8d98-02930b3e10a1,,,
a20c551e-39aa-4a8a-8191-9a8ce906bb28,,,
0ec1e3da-44fe-41fe-a919-5d139f9d1bcd,"""41 Rue Avenue Fabre",,
e93fe186-1bca-40f1-b08a-30b830a81da2,,,
582bbbee-9f2b-4540-9399-9eee2609a195,,,
debc8057-ce8a-438c-9617-d9e857f6acea,,,
28025900-3b27-499d-8335-f7e846c621e2,,2015-02-10,
0edf9922-7524-47b1-99a3-dad611d67264,,,
2dca2136-d03d-43cd-8ea2-a95c577fe5c9,,,
d27ef6d7-bba6-4e4b-a52f-2a58138f747c,,,
b9cb2884-973c-4830-9ef1-65d2178e263e,,,
410f838d-9800-49a4-81a3-6d843bf96707,https://www.linkedin.com/company/3deus-dynamics,,
4645c7e5-c677-4833-9c6c-ef7f0fa2ac8e,,,
f6416ab9-a58c-448c-9a4f-fb22b61cf403,,,
20e19b62-629c-4505-ab66-03e6aae8fb49,,,
45348912-91f8-4276-a4a3-e682b619f94b,,2014-06-16,
56ea9525-c09f-4ce3-8b4c-de1b13c64ebc,,,
100aa075-8af1-4d97-ac64-c89a6032dd74,,,
ffea7227-381e-4886-823f-a0e82e0c1252,,,
7b198ad4-2035-4119-ba77-a0dc339c79f6,,,
55b71ab5-4c9b-48eb-b8ae-2c51b5c125d0,,,
c302c7db-f6ce-422e-8912-d165cf49dd83,,,
d87eb729-516e-47e7-a14a-f5fa0b1605b4,,,
a89a858f-c398-4f99-819a-1ddd0d20572f,,,
a969dd1a-0bd9-4d03-87d2-e61ed65d6f90,,,
a2d91c48-6f69-46b5-92b9-2e61f6b54157,,,
ab8d9608-4073-44ae-9f1f-a5d27c18cee4,,,
6a7a4ea8-eeef-406f-ad28-cf8cd2780ffa,"""12 Rue Ampère",,
88aad513-02ed-483b-8296-b80f5f5f18a4,,,
ef96a388-28b8-4ad8-8a39-15e4ae221778,,,
ebb03c6e-f4d1-4cd9-bad3-72ab3fd51c27,,,
f99230a2-1373-4bf5-9431-1a1e714d3963,,,
6ab85e20-4d04-487d-8031-45e857996336,,,
8ce881e5-2ce9-4df3-80e0-660293a0b0f8,,,
4ff1abbb-54f3-4119-8d78-d05b4f392814,,,
6ea97594-b10f-47f1-a4a3-10113e81f1d1,,,
eabb863e-d7fc-4473-b595-225a4f22cbec,,Non,disponible
7443fca1-179e-43b3-889f-223230d20743,,,
2930b769-d16c-41ae-85bb-b77651ae9be5,,,
af30f63a-a9f7-4245-a373-694222e2f2e9,,,
