nom;description;logo;mots_cles_b;site_web_x;tags;emplacement;Date dernier financement;Série;Montant;LinkedIn;adresse_z;Contact;Date de création;Marché;Type d'organisme
360PLAYER.IO;"Nous rendons les photos 360° faciles à utiliser sur le web.
3000 entreprises (Buzzfeed, Honda, Intel...) et organisations (NASA, UCLA, Georgetown university...) l'utilisent.
1 million de players vus par mois.

#VR #EDTECH";https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/13f64051e07d1a8b69b78b56af121c2b;;https://360player.io/;;;;;;;;;;;
365TALENTS;"La plateforme intelligente de pilotage des compétences, de la mobilité et du staffing qui révèle le talent de centaines de milliers de collaborateurs. 
365Talents permet aux directions RH de répondre à tous leurs enjeux de mobilité et de transformation en s'appuyant sur l’intelligence artificielle.

#BIGDATA #IA #Software #HR";https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/3f5906f0d74ae0404a63e5f68d8b918e;;;;;;;;;;;;;
3D AEROSPACE;3D Aerospace vise à fournir des services de conduite exceptionnels conçus pour une communauté mondiale, basé sur les constellation de satellites européens: Galileo et Copernicus.;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/a90bddf0-6147-42e4-828b-080401544050;;;;;;;;;;;;;
3D MEDLAB;"Expertise,design, développement, et production de dispositif médicaux implantables ou non implantables produit au moyen des technologies de fabrication additive , fusion laser titane , CrCo , Inox .
Maturation et développement de couple matériaux procédés innovants en vue de produire des dispositifs médicaux, ( matériaux biorésorbable, élastomères , silicones ... )

spécialiste de l'impression 4D sur base de matériaux à mémoire de forme .";https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/e9d365c4-77ab-46b9-a3fd-f976fbff65dc;;http://www.3d-medlab.com/;;;;;;;;;;;
3D SOUND LABS;Technologies logicielles audio 3D/VR ainsi que casque audio 3D pour une expérience immersive et réaliste du son spatial;https://upload.prd.hbd.cloud.bpifrance.fr/03631dbe-d29c-4d18-9226-7288fdfabf5a;;http://3dsoundlabs.com/;;;;;;;;;;;
3D-OXIDES;"3D-Oxides développe de nouveaux matériaux et de nouveaux concepts de structuration sous forme de couches minces. Approche nouvelle tant au niveau des compositions chimiques qu'au niveau des tailles, formes et interfaces complexes entre les matériaux.
Marchés de la microélectronique, photonique, optronique, énergies renouvelables ou matériaux bio compatibles";https://www.minalogic.com/wp-content/uploads/2020/07/minalogic-member-en-3d-oxides-333x250.png;;;;;;;;;"41 Rue Avenue Fabre
                                                                                                                                                    01630
                                                                                                                SAINT-GENIS POUILLY";BENVENUTI Giacomo                                        Président;2009;Industrie du futur,                                                                             NewSpace;PME
3D4PRO;"EXA3D : service de modélisation 3D 100% en ligne, facile, confidentiel

#AI #VR";https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/e23bea61bd07df5f2b588d971bc4b5f0;;https://3d4pro.fr/;;;;;;;;;;;
3DCELO;✅ Aligneurs pour l'orthodontie ✅ Guides chirurgicaux pour l'implantologie ✅ + de 500 chirurgiens-dentistes qui nous font confiance;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/f91de932-68d0-4bf1-9b95-0062007ff63d;;https://www.3dcelo.com/;;;;;;;Vitry Sur Seine;;;;
3DCERAM SINTO;SOLUTIONS POUR L'IMPRESSION 3D DE CERAMIQUE. Ligne de fabrication additive clés en main et production à la demande;https://upload.prd.hbd.cloud.bpifrance.fr/22ce33f1-34c9-4eaf-9f0c-d97a96f8b059.png;;;;;;;;;;;;;
3DEFRANCE&CO;3defrance&co est une entreprise familiale, basée en France, qui facilite l’auto-réparation en concevant sur mesure des pièces de remplacement grâce à l’impression 3D. La technologie de l’impression 3D permet de créer des pièces identiques aux originales et à un coût très abordable.;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/3de9e1df-4ffa-41d9-8315-57fc25af0394;;https://3defrance.fr/;;;;;;;;;;;
