logo,page_french_tech,nom,description,market,field,mots_clé,mots_clé_2,mots_clé_3,mots_clé_4,mot_clé_5,employees,date de création,valeur_entreprise,financement,adresse,dernier_financement
https://storage.googleapis.com/dealroom-images-production/86/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy8yMzIxZWY0ZDcyOTEzODJjZDFmMjE1MTZhZDMxNmYzNg==.png,https://ecosystem.lafrenchtech.com/companies/52_hertz,52 Hertz,"52 Hertz develops Talky-Divy, the first voice communication device for divers that adapts to standard equipment",B2B,sports,B2C,,,hardware,deep tech,2-10 employees,2019,€3—5m,€800k,"Plouzané, France",€800k SEED
https://storage.googleapis.com/dealroom-images-production/b5/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNS85N2ZhMzUwMWJjNDIwYjc4YTYwYmU0YTU3MGJhMjU2MA==.png,https://ecosystem.lafrenchtech.com/companies/58_facettes,58 Facettes,The first marketplace for jewelers and designers,B2B,fashion,B2C,luxury,accessories,commission,marketplace & ecommerce,11-50 employees,Jan 2020,€8—12m,€2.0m,"Paris, France",€2.0m SEED
https://storage.googleapis.com/dealroom-images-production/a7/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9hMDUyMWQzMjkzYTE5MjBjZjcwYmE1ODdjMWMzOTc5Yw==.png,https://ecosystem.lafrenchtech.com/companies/6wind,6Wind,"Enables Service Providers, Cloud and Content Providers and Enterprises to transparently evolve their networks",B2B,telecom,,,,subscription,,51-200 employees,Jul 2000,,€3.8m,"Montigny-le-Bretonneux, France",N/A EARLY VC
https://storage.googleapis.com/dealroom-images-production/f0/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy9jYWY1Y2NlMDRmOWU5YWFmODk1OGJjMTE4Y2U3NzEyMA==.png,https://ecosystem.lafrenchtech.com/companies/727sailbags,727sailbags,"727Sailbags, unique creations in recycled sailcloth - 727 Sailbags",,fashion,home living,,,,,11-50 employees,2005,€4—6m,€1.0m,"Lorient, France",€1.0m SEED
https://storage.googleapis.com/dealroom-images-production/a3/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNC8wNGQ3NDk1OGY2YjJkYWUxMTlkOGNjZDIzNjc0ZDg3Ng==.png,https://ecosystem.lafrenchtech.com/companies/73_strings,73 Strings,73 Strings | Financial Advisory Powered by Artificial Intelligence,B2B,fintech,,,,big data,artificial intelligence,51-200 employees,2019,€36—55m,€9.1m,"Neuilly-sur-Seine, France",$10.0m SERIES A
https://storage.googleapis.com/dealroom-images-production/7a/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9jYWE4Mzk0NjJiZGJmNjllNzI4ZGE2ZGY1ODIwMmI4Yw==.png,https://ecosystem.lafrenchtech.com/companies/88jobs,88Jobs,Recruitment startup specializing in Chinese bilingual jobs,B2B,jobs recruitment,,,,,,11-50 employees,Apr 2014,€2—2m,€400k,"Paris, France",€400k SEED
https://storage.googleapis.com/dealroom-images-production/8b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy80N2Q3OWJiZWI2NTZjOGM2M2Y5ZWYwMmU0MmMxODM4MQ==.png,https://ecosystem.lafrenchtech.com/companies/8sec,8sec,Developing hybrid casual mobile games,B2C,gaming,,console & pc gaming,,selling own inventory,marketplace & ecommerce,11-50 employees,2014,€6—9m,€1.5m,"Lyon, France",€1.5m EARLY VC
https://storage.googleapis.com/dealroom-images-production/71/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy83OWM4YWMyMTFiNjYxNzdmM2YwODIwYmNiOTJjMWNhYw==.png,https://ecosystem.lafrenchtech.com/companies/900_care,900.care,Bathroom products designed for sustainability,B2C,home living,,,,selling own inventory,marketplace & ecommerce,51-200 employees,Jul 2019,€84—126m,€31.8m,"Paris, France",€21.0m SERIES A
https://storage.googleapis.com/dealroom-images-production/04/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy84MjI3MTIwNTFkOTY0ZWJjOTMwZWJmMmMwZmMxNzAzMw==.png,https://ecosystem.lafrenchtech.com/companies/a_m_a_selections,A.M.A Selections,Europe’s premier luxury vacation rental company,B2C,travel,,booking & search,accommodation,commission,marketplace & ecommerce,2-10 employees,Jul 2013,€6—9m,€2.0m,"Cannes, France",€1.5m SEED
https://storage.googleapis.com/dealroom-images-production/32/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy9kYTZjNGE5ZWUyOGNlMDdiZTBhY2UxY2NmNTRkYWMyZg==.png,https://ecosystem.lafrenchtech.com/companies/a3bc_group,A3BC GROUP,Biometric digital ID & data storage protocol® designed to simplify & secure your daily life,,,,,,,,11-50 employees,May 2018,€11—16m,€2.7m,"Paris, France",$3.0m SEED
