id,name,description,logo_url,website,category,subcategories,address
2c1c020e-63b9-40a3-9437-0d28945054cc,30 MILLE OOVOOM,"La solution OoVoom assure aux garages un apport de clients, une meilleure gestion du flux et du portefeuille client. Mais c'est aussi l'assurance d'un devis transparent pour les utilisateurs de l'application mobile OoVoom.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/2752698c-c9f3-482f-b079-963edd278957,https://oovoom.com/,,,
8c74e3c5-3483-422e-9503-b42743b501ff,360 SMART CONNECT,Augmenter la valeur des produits et ouvrages du BTP en y associant de nouveaux services à forte valeur ajoutée ! - Créateur du béton connecté,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/aecd26900376de075bf82541bb79dbe5,https://www.360sc.io/,,,
15db373d-e4b1-45d3-8dc4-6291668374e5,360LEARNING,360Learning permet aux équipes Formation de piloter la culture et décupler la croissance de l’entreprise grâce au Collaborative Learning. La plateforme 360Learning intègre le pouvoir du collaboratif au cœur d’un LMS moderne pour miser sur l'intelligence c,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/Bkb9pRSrf.com/t_api_images/zytnyamafdibqioanwon,https://fr.360learning.com/,,"['#Corporate Training', '#EdTech', '#Communities', '#MOOC', '#Education']",
f0310fe0-9403-4649-af21-cf8c9db0f878,360PLAYER.IO,"""Nous rendons les photos 360° faciles à utiliser sur le web.",,,,,
31390850-6bc9-4e20-966e-598cb2a39806,"3000 entreprises (Buzzfeed, Honda, Intel...) et organisations (NASA, UCLA, Georgetown university...) l'utilisent.",,,,,,
8fd3679c-31df-4636-a740-b88cd8d106b9,1 million de players vus par mois.,,,,,,
ca3749cb-8bf5-4e38-ac80-4f1929c40f96,"#VR #EDTECH""",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/13f64051e07d1a8b69b78b56af121c2b,,,,https://360player.io/,
721f8a4a-92ed-46cc-937c-df0207376a39,365TALENTS,"""La plateforme intelligente de pilotage des compétences, de la mobilité et du staffing qui révèle le talent de centaines de milliers de collaborateurs. ",,,,,
8b004168-3ef8-4abe-9497-f5795e097c19,365Talents permet aux directions RH de répondre à tous leurs enjeux de mobilité et de transformation en s'appuyant sur l’intelligence artificielle.,,,,,,
80af1c70-bbe8-483f-a53f-ffd8829ae405,"#BIGDATA #IA #Software #HR""",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/3f5906f0d74ae0404a63e5f68d8b918e,,,,,
6100de39-4d8b-4069-8df8-f91aa3e37f99,3D AEROSPACE,"3D Aerospace vise à fournir des services de conduite exceptionnels conçus pour une communauté mondiale, basé sur les constellation de satellites européens: Galileo et Copernicus.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/a90bddf0-6147-42e4-828b-080401544050,,,,
7de6fc6c-4950-454d-81a7-975b5846b76e,3D MEDLAB,"""Expertise,design, développement, et production de dispositif médicaux implantables ou non implantables produit au moyen des technologies de fabrication additive , fusion laser titane , CrCo , Inox .",,,,,
5bfbb408-4d49-492f-afaf-ae25159ea020,"Maturation et développement de couple matériaux procédés innovants en vue de produire des dispositifs médicaux, ( matériaux biorésorbable, élastomères , silicones ... )",,,,,,
b31e1667-94ae-4d52-9c20-c3385a11044b,"spécialiste de l'impression 4D sur base de matériaux à mémoire de forme .""",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/e9d365c4-77ab-46b9-a3fd-f976fbff65dc,,,,http://www.3d-medlab.com/,
a972f578-6a9d-4fbc-8c33-22f0576adf6d,3D SOUND LABS,Technologies logicielles audio 3D/VR ainsi que casque audio 3D pour une expérience immersive et réaliste du son spatial,https://upload.prd.hbd.cloud.bpifrance.fr/03631dbe-d29c-4d18-9226-7288fdfabf5a,http://3dsoundlabs.com/,,,
97c7bda5-eaa1-4339-811f-2cc69531a3bd,3D-OXIDES,"""3D-Oxides développe de nouveaux matériaux et de nouveaux concepts de structuration sous forme de couches minces. Approche nouvelle tant au niveau des compositions chimiques qu'au niveau des tailles, formes et interfaces complexes entre les matériaux.",,,,,
4bf8b85d-9723-4a01-81a2-881dfd36877c,"Marchés de la microélectronique, photonique, optronique, énergies renouvelables ou matériaux bio compatibles""",https://www.minalogic.com/wp-content/uploads/2020/07/minalogic-member-en-3d-oxides-333x250.png,,,,,
ed8c9baf-2106-45f8-a205-bf03bb66a1a5,                                                                                                                                                    01630,,,,,,
082aac0f-10ad-4c31-9e68-743208acacac,"                                                                                                                SAINT-GENIS POUILLY""",BENVENUTI Giacomo                                        Président,2009,PME,,"Industrie du futur,                                                                             NewSpace",
52fe0fcc-241a-4959-b8f6-687e48732c62,3D4PRO,"""EXA3D : service de modélisation 3D 100% en ligne, facile, confidentiel",,,,,
5da3fb58-9e30-479a-9bba-582b72d920ae,"#AI #VR""",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/e23bea61bd07df5f2b588d971bc4b5f0,,,,https://3d4pro.fr/,
89e13131-6b2c-4ac8-b7e2-b9565b6f4a60,3DCELO,✅ Aligneurs pour l'orthodontie ✅ Guides chirurgicaux pour l'implantologie ✅ + de 500 chirurgiens-dentistes qui nous font confiance,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/f91de932-68d0-4bf1-9b95-0062007ff63d,https://www.3dcelo.com/,,,Vitry Sur Seine
6cdd2173-e75d-40e6-87e6-8b904f9ea89a,3DCERAM SINTO,SOLUTIONS POUR L'IMPRESSION 3D DE CERAMIQUE. Ligne de fabrication additive clés en main et production à la demande,https://upload.prd.hbd.cloud.bpifrance.fr/22ce33f1-34c9-4eaf-9f0c-d97a96f8b059.png,,,,
d76e316a-f6d9-4715-bd53-e8e848e14ad2,3DEFRANCE&CO,"3defrance&co est une entreprise familiale, basée en France, qui facilite l’auto-réparation en concevant sur mesure des pièces de remplacement grâce à l’impression 3D. La technologie de l’impression 3D permet de créer des pièces identiques aux originales et à un coût très abordable.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/3de9e1df-4ffa-41d9-8315-57fc25af0394,https://3defrance.fr/,,,
fe238094-beaf-4a43-a541-481ed90fcc94,3DEUS DYNAMICS,"3Deus Dynamics revolutionizes silicone additive manufacturing with its Dynamic Molding process. Specializing in custom solutions for aerospace and medical sectors, our technology enables the creation of innovative, complex, and functionalized parts with a high degree of design freedom, precision, scalability, and enhanced performance.",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g6mP8IAI.png,https://www.3deusdynamics.com/,,,"""466 rue des Mercières Rillieux-La-Pape, Auve 69140"
e9706e60-dc7a-4c34-a306-46a8d5a17d44,"France""",,Non disponible,,,,
4f95128f-4bda-4bf3-8ce8-966ef7ff7332,3DLYFE,"""3DLyfe est une entreprise spécialisée dans la location de scanners 3D – avec ou sans opérateur – et location d’imprimantes 3D. Nos équipes pluridisciplinaires vous offrent aussi des prestation de scan 3D, de prototypage, d’impression 3D/fabrication additive, et de modélisation. ",,,,,
eccce676-bf8d-41b9-8741-6c8696325c59,Nous proposons aussi un accompagnement sur-mesure aux entreprises souhaitant intégrer la 3D à leur stratégie de développement ou de fabrication.,,,,,,
cfa7d75b-cbae-43fd-aef4-b429740f1e81,"#3D #Print""",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/2849634e-df72-499b-a723-81e228aa615b,"['#scanner', '#focus', '#handyscan', '#impression', '#numérisation']",,,http://www.3dlyfe.com/,
b1dde95e-bdbb-4b0e-aef7-da656beb0b08,3DNATIVES,3Dnatives - Toute l'info sur l'impression 3D et les impacts de cette nouvelle révolution qui va changer notre façon de consommer. www.3dnatives.com,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/f94f3cd8ad7cd6071b39238069ff2403,https://www.3dnatives.com/,,,
61a8b53d-4240-40cc-940e-c0328e3f48ed,3DTRUST,Logiciel pour optimiser votre flux de travail AM,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/16e63f4a-f375-444b-9df3-9a6c9b7954de,https://3dtrust.de/,,,Colomiers
3727281d-41eb-4c2b-995a-233defd556b4,3W ACADEMY,"Formation développeur web en 3 mois avec nos cours web, accédez aux métiers du Web : Webmaster, développeur web, intégrateur, webdesigner, etc. Notre formation Internet est dispensée sur Paris, Marseille, Lyon, Nantes, Strasbourg, Lille, Grenoble, Aix",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/f68ae4b43fcdb8aafd73d502592ff64c,https://3wa.fr/,,,
997d8fa4-afe8-4b3e-af45-704f9ba35b34,3WAYSTE,Specializes in technology and services related to the environment,https://upload.prd.hbd.cloud.bpifrance.fr/db57cde2-3c51-44eb-af2c-ffbd9e168e6b,http://www.3wayste.com/,,,
a05ef305-c1ad-49da-a3f2-11e0c8d62c2a,404WORKS,"404Works est le premier site de rencontre sélectif où se trouvent les meilleurs freelances. Notre communauté, ouverte aux meilleurs professionnels du Web, met en relation les porteurs de projets, recruteurs et prestataires freelances. Nous misons sur les rencontres de proximité entre professionnels, permettant d’établir des relations de confiance pour aboutir à des prestations de qualité.",https://upload.prd.hbd.cloud.bpifrance.fr/0e8a03ab-9ca7-4957-8f66-9eec5fbfb9ab,http://www.404works.com/,,,
1c4386b1-9340-4551-b08a-f548e853b7cb,45-8 ENERGY,"45-8 ENERGY est une entreprise française dédiée à l’exploration et à la production de deux gaz industriels écoresponsables, stratégiques et valorisés en circuit-court : l’hélium et l’hydrogène naturel, ainsi que les autres ressources qui peuvent y être associées. Une approche unique en Europe !",https://upload.prd.hbd.cloud.bpifrance.fr/8cc4909f-b8d7-4eb5-96dc-ce0d440a5df3,http://www.458energy.com/,,,
e71a57c8-f6f2-4d19-8a0a-87786a5b4c59,4D-VIRTUALIZ,"Hardware-in-the-loop 3D simulation for the development of off-road robotic systems mobiles, drones and intelligent vehicles",https://upload.prd.hbd.cloud.bpifrance.fr/ff7826d9-22f7-431e-990b-71ab7b69e99b,http://www.4d-virtualiz.com/,,,
7ea5517f-3e38-4d31-90fc-9ba36ab2c7dc,4DVIEWS,"""4DViews conçoit et vend, à l’international, des systèmes de capture volumétrique destiné aux studios de production de contenu pour l’industrie XR (ie: réalité virtuelle, augmentée et mixte).",,,,,
2570ce01-d16f-4fbf-866b-cbd7115fbe72,"Cette innovation, en pleine expansion avec l’accroissement de l’industrie du virtuelle, permet de filmer en studio un ou plusieurs sujets et d’en obtenir un asset virtuel, une séquence volumétrique, utilisable dans les logiciels de création 3D les plus récents.",,,,,,
cd8a54dc-340d-4e72-bf3a-50539b7f13e3,"Telle une caméra 360° centrée sur le sujet, la technologie 4DViews permet aux studios de création d’obtenir le contenu nécessaire à la conception d’applications de réalité augmentée, virtuelle et mixte.""",https://www.minalogic.com/wp-content/uploads/2020/07/minalogic-member-fr-4dviews-0-333x250.png,,,,,
9eb81ed7-5084-4fc9-839c-e36ff60162cb,                                                                                                                                                    38000,,,,,,
ed8f3a68-79e4-4018-becc-377b48de7943,4P PHARMA,4P-Pharma | Translating Science to Product,https://upload.prd.hbd.cloud.bpifrance.fr/1d64b2e9-add3-4e87-8289-d3d6a94bf1b8,http://4p-pharma.com/,,,
04a774cf-1fec-42f2-8deb-7306729e1e0d,55 | FIFTY-FIVE,"55 aide les marques à exploiter de façon optimale les données et la technologie pour mettre en place des stratégies de communication plus adaptées, plus agiles et plus abordables. 55 fait partie de You & Mr Jones, le premier groupe de BRANDTECH* au monde.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/66f6f6e4-cfc8-456b-85fc-22726d109062,,,,
895c81f6-0e0c-474d-8a1d-5ca7b22438b8,6 FREEDOM,"""6 Freedom est une start-up fondée en 2019 et spécialisée dans l’AR/VR*",,,,,
7b1353f6-9025-414b-b07b-5d6dfec6d9af,"Nous utilisons notre expertise dans les usages des technologies AR,VR,MR pour créer des outils qui optimisent les activités de nos clients (+30 projets)", ,,,,,
9e17287c-af4f-4dda-b653-b0beb42f9f04,Pour cela nous avons deux approches : ,,,,,,
6eda6e25-5de7-4d8b-91ea-320272c1a913,1-Approche opérationnelle pour ceux qui connaissent l’AR/VR,,,,,,
216097d2-ab7a-426f-8065-df33cb6ea9a5,"2-Approches conseil pour ceux qui souhaitent être accompagnés dans leur approche de l ’AR/VR""",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/700c2952-bc72-4e49-a7ec-c3fb69f350b1,,,,https://6freedom.studio/,
ce178359-e43d-4960-af02-e018452d1427,60MN,60mn | La passion de l'expérience client,https://upload.prd.hbd.cloud.bpifrance.fr/278c24b6-e9bb-4a05-8e1d-667ecef55f12,http://60mn.com/,,,
75360bee-bdeb-45f3-b10c-1aef61da32f9,7-SHAPES,"""7-Shapes a créé la 7-Shapes School, une solution innovante de formation au Lean Management ! ",,,,,
a9ee0758-04ce-43b9-97a0-15a780f47755," Des formations 100% en ligne basées sur le principe de mix-learning : vidéos, quiz, notions théoriques, mini-jeux ! ",,,,,,
7dd51df2-e76d-429f-b69e-20594e14c83b, Notre atout ? Une simulation interactive d’entreprise qui rend vos formations immersives et qui permet de mettre en pratique vos connaissances !,,,,,,
6e8da4b7-f612-446f-a2f6-b1968c4c3960,Nos experts en excellence opérationnelle sont là pour vous accompagner.,,,,,,
89c09a97-1d11-4bc3-93c3-68c19bff9b1d,"Formations certifiantes100% finançables - niveau Yellow à Black Belt.""",https://upload.prd.hbd.cloud.bpifrance.fr/b03016fd-5298-4956-9127-fd32ed9aab01,,,,,
8608a35c-4ab3-479d-966b-52ef819f532f,7HUGS LABS,"7HUGS LABS est une société de conception, développement, réalisation, production, promotion, commercialisation, et de distribution par tous moyens de produits et objets électroniques, connectés ou Connectables à internet ou à distance et d'application informatique mobile dédiées à tout environnement technologique et tous publics.",https://upload.prd.hbd.cloud.bpifrance.fr/707abe9b-2849-4e1c-a2ea-352a01eb383a,http://www.seven-hugs.com/,,,
305deb8a-22d6-45d1-a8f1-436e755ce11f,8POURCENT,Tirer parti de sa propre expérience dans les technologies numériques et le conseil aux entreprises pour aider les entreprises à planifier et à fournir d'excellents services numériques,https://upload.prd.hbd.cloud.bpifrance.fr/a3349a79-f88d-46fc-9f9b-d66ced000bff,https://8pourcent.com/,,,
0368f002-65ee-44b7-9cc4-30302837ea7c,90TECH,We want to help your company in your digital transformation,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/eaea0f27df55d4de184f58f2c9991569,,,,
