title,description,address,logo_url,url
ARCHIREALITY,Créateur de contenu VR et AR dans l'immobilier et l'urbanisme,19 BOULEVARD DE LA REPUBLIQUE Aix-en-Provence,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/02-logo-seul.png,https://lespepitestech.com/startup-de-la-french-tech/archireality
L'ATELIER DE SOLÈNE,"Nous proposons de beaux bijoux d’une grande diversité plaqués or et de qualité à prix abordables aux femmes branchées attentives à la mode qui recherchent des bijoux de tous les jours, élégants et délicats qui résisteront aux années.",25 BOULEVARD DE COURCELLES Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_123.png,https://lespepitestech.com/startup-de-la-french-tech/latelier-de-solene
DELEKT.,Livraison de repas 100% fait-maison préparés par les chefs de votre quartier.,"14 Rue le Marois, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/delekt.png,https://lespepitestech.com/startup-de-la-french-tech/delekt
NOSREZO,L' Appli qui augmente vos revenus en envoyant les meilleurs professionnels de l'Immobilier à vos amis.,2 RUE DU LAC Tigery,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/capture_decran_2021-07-29_a_10.58.25.png,https://lespepitestech.com/startup-de-la-french-tech/nosrezo
SKELLO,"Gestion de planning et de personnel simple, rapide et connectée pour les restaurants, hotels, cafés, et bars !","30 Rue de Gramont, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/skello-logo_01_1_0.png,https://lespepitestech.com/startup-de-la-french-tech/skello
KAZE,La gestion de vos interventions en temps réel et 100% personnalisable,"2B Rue Michelet, Issy-les-Moulineaux",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_final_kaze.png,https://lespepitestech.com/startup-de-la-french-tech/kaze
QUICKMS,"Solution SaaS qui révolutionne le monde du pilotage RH. Vos fichiers DSN vous permettent de générer des indicateurs RH, d’accéder à des tableaux de bord et d’obtenir votre BDES en quelques clics.","2 Rue Henri Barbusse, Marseille",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/gros_logo_quick_ms.png,https://lespepitestech.com/startup-de-la-french-tech/quickms
BUYER,"Et si toutes vos offres promotionnelles étaient sur une seule application, en temps réel et autour de vous sur une map",301 COURS LA FAYETTE Lyon,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/26805381_10215404808022169_4740989978447605240_n_0.jpg,https://lespepitestech.com/startup-de-la-french-tech/buyer
BLUECODERS,"Spécialiste du recrutement d'experts et managers Tech, Data, Infra & Produit","42 Rue du Faubourg Poissonnière, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_seul_carre-01.jpg,https://lespepitestech.com/startup-de-la-french-tech/bluecoders
TOUT POUR LE TOUTOU,Le e-concierge de confiance pour vos animaux de compagnie,Neuilly-sur-Seine,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_final_5.png,https://lespepitestech.com/startup-de-la-french-tech/tout-pour-le-toutou
APPWORK,La solution digitale dédiée à la gestion de votre Comité d'Entreprise.,5 BIS RUE BERANGER Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/appwork_positif_cmjn.jpg,https://lespepitestech.com/startup-de-la-french-tech/appwork
MONITORIZE,Monitorize est une solution SaaS de veille concurrentielle automatisée pour les e-commerçants et les marques. Surveillez automatiquement les sites de vos concurrents et/ou distributeurs et obtenez des insights puissants sur votre marché et votre offre.,"Blanchemaille by EuraTechnologies, Rue du Fontenoy, Roubaix",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_monitorize_purple4x_0.jpg,https://lespepitestech.com/startup-de-la-french-tech/monitorize
WEPROC,Logiciel SaaS qui optimise et facilite la Gestion des Achats des PME.,Toulon,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-weproc.png,https://lespepitestech.com/startup-de-la-french-tech/weproc
RENTLI,"Le service clé en main de location de meubles pour simplifier votre emménagement (avec option d’achat). On s'occupe de la livraison, du montage et de la reprise des meubles 😉.","37 Rue Desnouettes, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/rentli_logo_0.png,https://lespepitestech.com/startup-de-la-french-tech/rentli
HELLOWAYS,"Randos et Micro-aventures 100% Nature Autour des Grandes Villes, Accessibles sans Voiture. #France #Belgique",12 RUE DU PRE FAUCON Annecy,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/helloways12x_trans.png,https://lespepitestech.com/startup-de-la-french-tech/helloways
TIIME,Une solution de comptabilité et de facturation pour les entrepreneurs,"15 Rue Auber, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-tiime-2020-color_2_1_0.png,https://lespepitestech.com/startup-de-la-french-tech/tiime
CERTICAR,Le compagnon des automobilistes,"60 Rue François 1er, 75008 Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/certicarlogo.jpg,https://lespepitestech.com/startup-de-la-french-tech/certicar
TREASY,Vos fichiers stockés avec une sécurité renforcée pour toute la vie et au-delà,"Paris 8, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/image001_2.png,https://lespepitestech.com/startup-de-la-french-tech/treasy
TEMPR.,Des super-pouvoirs pour les mobiles marketers. Prédiction et automatisation leur permettent de maximiser la croissance de leur app.,"83 Rue du Faubourg Saint-Denis, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/tempr.png,https://lespepitestech.com/startup-de-la-french-tech/tempr
